status	key	command
Precomposition	Backspace	Revert
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Conversion	Ctrl a	SegmentFocusFirst
Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl Backspace	Backspace
Precomposition	Ctrl Backspace	Undo
Conversion	Ctrl Backspace	Cancel
Conversion	Ctrl d	SegmentFocusRight
Composition	Ctrl d	MoveCursorRight
Prediction	Ctrl Delete	DeleteSelectedCandidate
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl e	ConvertPrev
Composition	Ctrl e	MoveCursorToBeginning
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Conversion	Ctrl f	SegmentFocusLast
Composition	Ctrl f	MoveCursorToEnd
Composition	Ctrl g	Delete
Conversion	Ctrl g	Cancel
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl n	MoveCursorToEnd
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl s	SegmentFocusLeft
Composition	Ctrl s	MoveCursorLeft
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl x	ConvertNext
Composition	Ctrl x	MoveCursorToEnd
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Composition	Delete	Delete
Conversion	Delete	Cancel
Suggestion	Down	PredictAndConvert
Conversion	Down	ConvertNext
Composition	Down	MoveCursorToEnd
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
DirectInput	Eisu	IMEOn
Conversion	End	SegmentFocusLast
Composition	End	MoveCursorToEnd
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
DirectInput	F13	IMEOn
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Henkan	IMEOff
Conversion	Henkan	IMEOff
Precomposition	Henkan	IMEOff
Conversion	Home	SegmentFocusFirst
Composition	Home	MoveCursorToBeginning
Conversion	Left	SegmentFocusLeft
Composition	Left	MoveCursorLeft
Precomposition	Muhenkan	InputModeSwitchKanaType
Composition	Muhenkan	SwitchKanaType
Conversion	Muhenkan	SwitchKanaType
DirectInput	Muhenkan	IMEOn
Precomposition	Muhenkan	IMEOn
Conversion	PageDown	ConvertNextPage
